long,lat,Total Observations,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Observations per Accident,Accidents per Observation,Observations per Injury,Injuries per Observation,Observations per Fatality,Fatalities per Observation,Normalized Accidents per Observation,Normalized Observations per Injury,Normalized Observations per Fatality,Normalized Total Injuries,Normalized Total Accidents,Normalized Observations per Accident,Normalized Total Citations,Normalized Fatalities per Observation,Normalized Total Fatalities,Normalized Injuries per Observation,Normalized Total Observations
-77.41,39.13,47,9,0,0,0,POINT (-77.41 39.13),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.36231149850224087,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.45142316823138756
-77.41,39.135,63,33,6,2,0,POINT (-77.41 39.135),10.5,0.09523809523809523,31.5,0.031746031746031744,0.0,0.0,0.8108865594024797,-0.33233944030449125,-0.17065794835774026,-0.13875858639711885,-0.16961510946900732,-0.43015719939038094,-0.3354988389422557,-0.07130046983401872,-0.20458127844877552,0.7211147193512916,-0.44132774970756683
-77.41,39.14,119,49,11,1,0,POINT (-77.41 39.14),10.818181818181818,0.09243697478991597,119.0,0.008403361344537815,0.0,0.0,0.7679323639787853,-0.028689768186918884,-0.17065794835774026,-0.1835079527708254,-0.11699737888914521,-0.42680573549603934,-0.3176237325689323,-0.07130046983401872,-0.20458127844877552,-0.07013427685546868,-0.4059937848741942
-77.41,39.145,411,179,33,31,0,POINT (-77.41 39.145),12.454545454545455,0.08029197080291971,13.258064516129032,0.07542579075425791,0.0,0.0,0.5816930057183867,-0.3956441000584036,-0.17065794835774026,1.1589730384403711,0.11452063566224806,-0.40956963546799685,-0.17238849328567923,-0.07130046983401872,-0.20458127844877552,2.2017321840780437,-0.22175239681446537
-77.41,39.175,31,5,0,0,0,POINT (-77.41 39.175),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.36678027509557176,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.46151858675520835
-77.41,39.18,159,79,1,0,0,POINT (-77.41 39.18),159.0,0.006289308176100629,0.0,0.0,0.0,0.0,-0.553111759429181,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.22223284004886942,1.1340188781544749,-0.2841079081189508,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.3807552385646423
-77.405,39.135,74,20,0,0,0,POINT (-77.405 39.135),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.350022362870581,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.43438714947244006
-77.405,39.14,125,44,0,0,0,POINT (-77.405 39.14),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.32320970331059584,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.4022080029277614
-77.405,39.145,97,27,5,0,0,POINT (-77.405 39.145),19.4,0.05154639175257732,0.0,0.0,0.0,0.0,0.14088967614423295,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.18013865558497974,-0.3364119664600832,-0.342202003832252,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.4198749853444477
-77.405,39.175,245,80,0,0,0,POINT (-77.405 39.175),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.2829907139706181,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.3264923639991057
-77.4,39.135,112,56,0,0,0,POINT (-77.40000000000001 39.135),0.0,0.0,0.0,0.0,0.0,0.0,-0.6495560850031369,-0.4416533222668173,-0.17065794835774026,-0.22825731914453196,-0.23275638616484184,-0.5407555079036536,-0.3098033735306032,-0.07130046983401872,-0.20458127844877552,-0.3549839154899024,-0.4104105304783658
