long,lat,Total Observations,Total Citations,Total Accidents,Total Injuries,Total Fatalities,Total Stops,geometry,Observations per Accident,Accidents per Observation,Observations per Injury,Injuries per Observation,Observations per Fatality,Fatalities per Observation,Stops per Accident,Accidents per Stop,Stops per Injury,Injuries per Stop,Normalized Accidents per Stop,Normalized Stops per Accident,Normalized Total Injuries,Normalized Observations per Fatality,Normalized Stops per Injury,Normalized Injuries per Stop,Normalized Total Fatalities,Normalized Observations per Accident,Normalized Fatalities per Observation,Normalized Total Accidents,Normalized Total Stops,Normalized Observations per Injury,Normalized Injuries per Observation,Normalized Total Citations,Normalized Accidents per Observation,Normalized Total Observations
-77.065,39.025,83,50,2,0,0,37,POINT (-77.065 39.025),41.5,0.024096385542168676,0.0,0.0,0.0,0.0,18.5,0.05405405405405406,0.0,0.0,-0.18749949701614835,-0.20833249847879692,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.10362885997024267,-0.07130046983401872,-0.211709293932897,-0.4859611160329535,-0.4416533222668173,-0.3549839154899024,-0.31650653842059956,-0.2800465002740049,-0.4287084765527909
-77.065,39.03,50,10,0,0,0,28,POINT (-77.065 39.03),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48334795865026525,-0.5013978064323041,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.5407555079036536,-0.07130046983401872,-0.23275638616484184,-0.49693611128490134,-0.4416533222668173,-0.3549839154899024,-0.36119430435390815,-0.6495560850031369,-0.4495302772581712
-77.065,39.035,607,206,2,0,0,377,POINT (-77.065 39.035),303.5,0.0032948929159802307,0.0,0.0,0.0,0.0,188.5,0.005305039787798408,0.0,0.0,-0.4543124332378983,2.4847000610939722,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,2.656062266741894,-0.07130046983401872,-0.211709293932897,-0.07135018429270278,-0.4416533222668173,-0.3549839154899024,-0.1422242512806959,-0.5990300627090381,-0.0980835198976611
-77.065,39.04,58,50,10,0,0,16,POINT (-77.065 39.04),5.8,0.1724137931034483,0.0,0.0,0.0,0.0,1.6,0.625,0.0,0.0,2.937399878994211,-0.47605161763632514,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.4796631089153697,-0.07130046983401872,-0.12752092500511764,-0.5115694382874985,-0.4416533222668173,-0.3549839154899024,-0.31650653842059956,1.9943487022828936,-0.4444825679962608
-77.065,39.045,3277,1134,98,36,0,1741,POINT (-77.065 39.045),33.43877551020408,0.029905401281660055,91.02777777777777,0.01098565761367104,0.0,0.0,17.76530612244898,0.056289488799540495,48.361111111111114,0.02067777139574957,-0.17526452330123946,-0.2199710545585832,1.3827198703089039,-0.17065794835774026,-0.15152881664387993,-0.01964705562744085,-0.20458127844877552,-0.18853912598140438,-0.07130046983401872,0.7985511332004555,1.5919713183358324,-0.1257612665432349,0.017398096078579155,0.894531918372064,-0.1909672900402502,1.5865894462649277
-77.065,39.05,140,92,24,1,0,57,POINT (-77.065 39.05),5.833333333333333,0.17142857142857143,140.0,0.007142857142857143,0.0,0.0,2.375,0.42105263157894735,57.0,0.017543859649122806,1.8211558477628553,-0.4637745574382728,-0.1835079527708254,-0.17065794835774026,-0.10502158982693373,-0.05627810527551321,-0.20458127844877552,-0.47931200317405764,-0.07130046983401872,0.01980872061849627,-0.4615722376952917,0.044186153121298484,-0.11286172265063373,-0.26958438419062547,1.9792406749269733,-0.39274354806167944
-77.065,39.055,200,101,31,7,0,81,POINT (-77.065 39.055),6.451612903225806,0.155,28.571428571428573,0.035,0.0,0.0,2.6129032258064515,0.38271604938271603,11.571428571428571,0.08641975308641975,1.6113321987221545,-0.4600058448904836,0.08498824547141388,-0.17065794835774026,-0.3495850866576184,0.7487848563004256,-0.20458127844877552,-0.4727995579723033,-0.07130046983401872,0.09347354343030322,-0.43230558369009753,-0.3425024089223039,0.8314148294225141,-0.259529636855631,1.7273143187670041,-0.3548857285973516
-77.065,39.06,819,341,30,5,0,398,POINT (-77.065 39.06),27.3,0.03663003663003663,163.8,0.006105006105006105,0.0,0.0,13.266666666666667,0.07537688442211055,79.6,0.01256281407035176,-0.07079545561776564,-0.29123565766564485,-0.004510487275999213,-0.17065794835774026,0.016644904508331365,-0.11449956862452688,-0.20458127844877552,-0.2531999057691447,-0.07130046983401872,0.0829499973143308,-0.045741862038157874,0.12677886393727822,-0.1480418703281343,0.008596958744220689,-0.08784737561636119,0.03568077554296392
-77.065,39.065,723,296,18,0,0,346,POINT (-77.065 39.065),40.166666666666664,0.024896265560165973,0.0,0.0,0.0,0.0,19.22222222222222,0.05202312138728324,0.0,0.0,-0.19861519066136085,-0.19689151048061196,-0.22825731914453196,-0.17065794835774026,-0.41187956226543426,-0.26134131246938447,-0.20458127844877552,-0.11767308962272176,-0.07130046983401872,-0.04333255607733826,-0.10915294571607857,-0.4416533222668173,-0.3549839154899024,-0.04167677793075151,-0.2677806219427475,-0.024891735599960618
-77.065,39.07,2101,843,26,2,2,1093,POINT (-77.065 39.07),80.8076923076923,0.012375059495478343,1050.5,0.0009519276534983341,1050.5,0.0009519276534983341,42.03846153846154,0.023787740164684355,546.5,0.0018298261665141812,-0.353152981480997,0.16454893284666344,-0.13875858639711885,1.3930873252510025,2.530188541903698,-0.23995320119756255,2.8250267715205912,0.310405833438419,0.27870076353333656,0.04085581285044111,0.80177166019559,3.20387788412758,-0.3227163219653925,0.5694284212072439,-0.459788906553478,0.844576184764102
-77.065,39.075,1777,725,21,2,0,943,POINT (-77.065 39.075),84.61904761904762,0.011817670230725942,888.5,0.0011254924029262803,0.0,0.0,44.904761904761905,0.022269353128313893,471.5,0.0021208907741251328,-0.3614634121551916,0.20995505174055895,-0.13875858639711885,-0.17065794835774026,2.1264280518530394,-0.2365510626071349,-0.20458127844877552,0.3505514953983214,-0.07130046983401872,-0.011761917729420994,0.6188550726631264,2.6416922054641887,-0.3168329790830396,0.4375995117039835,-0.4683362745971501,0.6401439596567318
