long,lat,Total Stops,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Stops per Accident,Stops per Injury,Stops per Fatality
-77.4225,39.135,6,36,6,0,0,POINT (-77.4225 39.135),1.0,0.0,0.0
-77.4225,39.1375,8,9,0,0,0,POINT (-77.4225 39.1375),0.0,0.0,0.0
-77.4225,39.14,4,2,0,0,0,POINT (-77.4225 39.14),0.0,0.0,0.0
-77.4225,39.1425,12,0,0,0,0,POINT (-77.4225 39.1425),0.0,0.0,0.0
-77.4225,39.145,10,12,0,0,0,POINT (-77.4225 39.145),0.0,0.0,0.0
-77.4225,39.1475,19,60,0,0,0,POINT (-77.4225 39.1475),0.0,0.0,0.0
-77.4225,39.1875,2,0,0,0,0,POINT (-77.4225 39.1875),0.0,0.0,0.0
-77.4225,39.19,15,36,2,0,0,POINT (-77.4225 39.19),0.13333333333333333,0.0,0.0
-77.4225,39.22,8,7,0,0,0,POINT (-77.4225 39.22),0.0,0.0,0.0
-77.4225,39.225,1,1,0,0,0,POINT (-77.4225 39.225),0.0,0.0,0.0
-77.4225,39.3925,1,0,0,0,0,POINT (-77.4225 39.3925),0.0,0.0,0.0
-77.42,39.1375,8,50,0,0,0,POINT (-77.42 39.1375),0.0,0.0,0.0
-77.42,39.1425,25,23,0,0,0,POINT (-77.42 39.1425),0.0,0.0,0.0
-77.42,39.145,25,7,0,0,0,POINT (-77.42 39.145),0.0,0.0,0.0
-77.42,39.1475,73,140,0,0,0,POINT (-77.42 39.1475),0.0,0.0,0.0
-77.42,39.1575,2,1,0,0,0,POINT (-77.42 39.1575),0.0,0.0,0.0
-77.42,39.16,10,15,1,0,0,POINT (-77.42 39.16),0.1,0.0,0.0
-77.42,39.1625,5,0,1,1,0,POINT (-77.42 39.1625),0.2,0.2,0.0
-77.42,39.1775,1,1,0,0,0,POINT (-77.42 39.1775),0.0,0.0,0.0
-77.42,39.185,4,8,0,0,0,POINT (-77.42 39.185),0.0,0.0,0.0
-77.42,39.1875,15,7,0,0,0,POINT (-77.42 39.1875),0.0,0.0,0.0
-77.42,39.2225,411,140,2,0,1,POINT (-77.42 39.2225),0.004866180048661801,0.0,0.0024330900243309003
-77.42,39.36,10,24,0,0,0,POINT (-77.42 39.36),0.0,0.0,0.0
-77.42,39.3825,4,16,0,0,0,POINT (-77.42 39.3825),0.0,0.0,0.0
-77.42,39.395,3,3,0,0,0,POINT (-77.42 39.395),0.0,0.0,0.0
-77.4175,39.09,1,1,0,0,0,POINT (-77.4175 39.09),0.0,0.0,0.0
-77.4175,39.095,11,0,0,0,0,POINT (-77.4175 39.095),0.0,0.0,0.0
-77.4175,39.1025,2,4,2,0,0,POINT (-77.4175 39.1025),1.0,0.0,0.0
-77.4175,39.1375,2,0,0,0,0,POINT (-77.4175 39.1375),0.0,0.0,0.0
