long,lat,Total Observations,Total Citations,Total Accidents,Total Injuries,Total Fatalities,Total Stops,geometry,Observations per Accident,Accidents per Observation,Observations per Injury,Injuries per Observation,Observations per Fatality,Fatalities per Observation,Stops per Accident,Accidents per Stop,Stops per Injury,Injuries per Stop,Normalized Injuries per Observation,Normalized Stops per Injury,Normalized Observations per Accident,Normalized Injuries per Stop,Normalized Accidents per Stop,Normalized Total Observations,Normalized Total Stops,Normalized Fatalities per Observation,Normalized Total Citations,Normalized Total Fatalities,Normalized Stops per Accident,Normalized Total Accidents,Normalized Total Injuries,Normalized Observations per Injury,Normalized Accidents per Observation,Normalized Observations per Fatality
-77.4,39.14,34,14,0,0,0,24,POINT (-77.40000000000001 39.14),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.5162174216361078,-0.5484573680861631,-0.0787706368245004,-0.4235240835591822,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.38,39.21,139,5,0,0,0,108,POINT (-77.38 39.21),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.3429567660032134,-0.29685004820687644,-0.0787706368245004,-0.44708830636440294,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.37,39.125,142,21,0,0,0,96,POINT (-77.37 39.125),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.3380064615565592,-0.33279395104677456,-0.0787706368245004,-0.4051963547106772,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.365,39.125,570,195,0,0,0,429,POINT (-77.36499999999999 39.125),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,0.36823697283276274,0.6646493527603973,-0.0787706368245004,0.050378619523590004,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.36,39.125,68,7,0,0,0,54,POINT (-77.36 39.125),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.46011397124069436,-0.4585976109864178,-0.0787706368245004,-0.44185181240768723,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.35,39.245,101,8,0,0,0,73,POINT (-77.34999999999999 39.245),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.405660622327499,-0.4016864314899125,-0.0787706368245004,-0.43923356542932934,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.345,39.13,163,136,1,1,0,134,POINT (-77.345 39.13),163.0,0.006134969325153374,163.0,0.006134969325153374,0.0,0.0,134.0,0.007462686567164179,134.0,0.007462686567164179,-0.0556390808000227,0.6813860768194784,1.0458591520298604,-0.12265379661601514,-0.38035494585298757,-0.3033543304299804,-0.21897159205376393,-0.0787706368245004,-0.1040979521995236,-0.16676678415336357,1.396421236131006,-0.2399659163382518,-0.1229706533070222,0.4238161170038311,-0.4813525257992606,-0.13727903545571038
-77.325,39.28,326,150,0,0,0,265,POINT (-77.325 39.28),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.03438778882843951,0.17341601394845682,-0.0787706368245004,-0.06744249450251359,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.315,39.185,41,29,0,0,0,37,POINT (-77.315 39.185),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31863035655844646,-0.3842654571482779,-0.5350613982929083,-0.2553805235160714,-0.43499043399754417,-0.5046667112605815,-0.5095181400096068,-0.0787706368245004,-0.38425037888381436,-0.16676678415336357,-0.4874693901548399,-0.2714853549229109,-0.23524476138437428,-0.4091815844525363,-0.5995406826383731,-0.13727903545571038
-77.315,39.28,230,49,2,0,0,189,POINT (-77.315 39.28),115.0,0.008695652173913044,0.0,0.0,0.0,0.0,94.5,0.010582010582010581,0.0,0.0,-0.31863035655844646,-0.3842654571482779,0.580311996106591,-0.2553805235160714,-0.35751788996187667,-0.19279753112137155,-0.054228704037564385,-0.0787706368245004,-0.3318854393166572,-0.16676678415336357,0.841095267934805,-0.20844647775359265,-0.23524476138437428,-0.4091815844525363,-0.43202181685771796,-0.13727903545571038
