long,lat,Total Stops,Total Citations,Total Accidents,Total Injuries,Total Fatalities,geometry,Stops per Accident,Accidents per Stops,Stops per Injury,Stops per Fatality,Normalized Total Accidents,Normalized Accidents per Stops,Normalized Total Citations,Normalized Total Fatalities,Normalized Total Injuries,Normalized Stops per Accident,Normalized Stops per Injury,Normalized Total Stops,Normalized Stops per Fatality,Accidents per Stop,Injuries per Stop,Fatalities per Stop,Normalized Normalized Total Citations,Normalized Injuries per Stop,Normalized Normalized Total Injuries,Normalized Fatalities per Stop,Normalized Normalized Total Fatalities,Normalized Normalized Stops per Fatality,Normalized Normalized Stops per Accident,Normalized Normalized Total Stops,Normalized Normalized Accidents per Stops,Normalized Normalized Total Accidents,Normalized Accidents per Stop,Normalized Normalized Stops per Injury
-77.415,39.13,44,12,0,0,0,POINT (-77.41500000000001 39.13),0.0,0.0,0.0,0.0,-0.2325761014738566,-0.6578697574480874,-0.3451126439353775,-0.2042646668926003,-0.242591277733204,-0.5410493854954572,-0.43758938610292986,-0.4524648045609831,-0.17042508492675504,0.0,0.0,0.0,-0.34511264393537755,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.5410493854954572,-0.4524648045609831,-0.6578697574480875,-0.2325761014738566,-0.6578697574480874,-0.4375893861029298
-77.415,39.145,404,110,5,7,0,POINT (-77.41500000000001 39.145),80.8,0.012376237623762377,57.714285714285715,0.0,-0.17988271165160954,-0.4646383318722914,-0.1627349574133971,-0.2042646668926003,-0.03795960875107045,0.30975121629584496,-0.19925186798943273,-0.22606661978132328,-0.17042508492675504,0.012376237623762377,0.017326732673267328,0.0,-0.16273495741339714,0.023348143717333587,-0.037959608751070455,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,0.30975121629584496,-0.2260666197813233,-0.4646383318722915,-0.17988271165160954,-0.4646383318722914,-0.1992518679894327
-77.415,39.15,141,37,0,0,0,POINT (-77.41500000000001 39.15),0.0,0.0,0.0,0.0,-0.2325761014738566,-0.6578697574480874,-0.29858772390426,-0.2042646668926003,-0.242591277733204,-0.5410493854954572,-0.43758938610292986,-0.391463071439797,-0.17042508492675504,0.0,0.0,0.0,-0.2985877239042601,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.5410493854954572,-0.391463071439797,-0.6578697574480875,-0.2325761014738566,-0.6578697574480874,-0.4375893861029298
-77.415,39.155,33,8,1,1,0,POINT (-77.41500000000001 39.155),33.0,0.030303030303030304,33.0,0.0,-0.2220374235094072,-0.1847455396746234,-0.35255663114035624,-0.2042646668926003,-0.21335818216432778,-0.1935689416945541,-0.30131224084496494,-0.4593825268736949,-0.17042508492675504,0.030303030303030304,0.030303030303030304,0.0,-0.3525566311403563,0.35615807247357045,-0.2133581821643278,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.19356894169455413,-0.4593825268736949,-0.1847455396746234,-0.2220374235094072,-0.1847455396746234,-0.3013122408449649
-77.415,39.18,61,9,1,0,0,POINT (-77.41500000000001 39.18),61.0,0.01639344262295082,0.0,0.0,-0.2220374235094072,-0.40191731176736095,-0.35069563433911155,-0.2042646668926003,-0.242591277733204,0.10126295001530311,-0.43758938610292986,-0.44177377916861027,-0.17042508492675504,0.01639344262295082,0.0,0.0,-0.3506956343391116,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,0.1012629500153031,-0.44177377916861027,-0.401917311767361,-0.2220374235094072,-0.40191731176736095,-0.4375893861029298
-77.41,39.13,47,11,0,0,0,POINT (-77.41 39.13),0.0,0.0,0.0,0.0,-0.2325761014738566,-0.6578697574480874,-0.3469736407366222,-0.2042646668926003,-0.242591277733204,-0.5410493854954572,-0.43758938610292986,-0.4505781530211526,-0.17042508492675504,0.0,0.0,0.0,-0.34697364073662224,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.5410493854954572,-0.4505781530211526,-0.6578697574480875,-0.2325761014738566,-0.6578697574480874,-0.4375893861029298
-77.41,39.135,63,29,6,2,0,POINT (-77.41 39.135),10.5,0.09523809523809523,31.5,0.0,-0.16934403368716014,0.8290920698399421,-0.3134756983142176,-0.2042646668926003,-0.18412508659545154,-0.4304874261042608,-0.3075066565385088,-0.44051601147538993,-0.17042508492675504,0.09523809523809523,0.031746031746031744,0.0,-0.3134756983142177,0.393167489268924,-0.18412508659545157,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.4304874261042608,-0.44051601147538993,0.8290920698399422,-0.16934403368716014,0.8290920698399421,-0.3075066565385087
-77.41,39.14,119,42,11,1,0,POINT (-77.41 39.14),10.818181818181818,0.09243697478991597,119.0,0.0,-0.11665064386491307,0.7853578984491179,-0.28928273989803654,-0.2042646668926003,-0.21335818216432778,-0.42713706369846693,0.05383425891821643,-0.4052985160652206,-0.17042508492675504,0.09243697478991597,0.008403361344537815,0.0,-0.2892827398980366,-0.2055142530088551,-0.2133581821643278,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.42713706369846693,-0.4052985160652206,0.785357898449118,-0.11665064386491308,0.7853578984491179,0.05383425891821646
-77.41,39.145,411,107,33,31,0,POINT (-77.41 39.145),12.454545454545455,0.08029197080291971,13.258064516129032,0.0,0.115200271352974,0.595736746579412,-0.1683179478171312,-0.2042646668926003,0.6636346849019589,-0.4099066284686701,-0.38283874416644537,-0.2216644328550521,-0.17042508492675504,0.08029197080291971,0.07542579075425791,0.0,-0.16831794781713122,1.5134452370815625,0.663634684901959,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.4099066284686701,-0.22166443285505213,0.5957367465794121,0.11520027135297399,0.595736746579412,-0.3828387441664453
-77.41,39.175,31,1,0,0,0,POINT (-77.41 39.175),0.0,0.0,0.0,0.0,-0.2325761014738566,-0.6578697574480874,-0.36558360874906914,-0.2042646668926003,-0.242591277733204,-0.5410493854954572,-0.43758938610292986,-0.46064029456691524,-0.17042508492675504,0.0,0.0,0.0,-0.3655836087490692,-0.4210396802288556,-0.24259127773320402,-0.07103781681355638,-0.2042646668926003,-0.170425084926755,-0.5410493854954572,-0.46064029456691524,-0.6578697574480875,-0.2325761014738566,-0.6578697574480874,-0.4375893861029298
