H3 Encoding - Res=9,Citation,Arrest,Search Conducted,Fatal,Alcohol,Accident,Personal Injury,Property Damage,Stops - ASIAN,Stops - BLACK,Stops - HISPANIC,Stops - OTHER,Stops - WHITE,Search Conducted - ASIAN,Search Conducted - BLACK,Search Conducted - HISPANIC,Search Conducted - OTHER,Search Conducted - WHITE,Citation - ASIAN,Citation - BLACK,Citation - HISPANIC,Citation - OTHER,Citation - WHITE,Arrest - ASIAN,Arrest - BLACK,Arrest - HISPANIC,Arrest - OTHER,Arrest - WHITE,Stops,Longitude,Latitude,geometry,Stops - % Total - ASIAN,Stops - % Total - BLACK,Stops - % Total - HISPANIC,Stops - % Total - OTHER,Stops - % Total - WHITE,Arrest - % Total - ASIAN,Arrest - % Total - BLACK,Arrest - % Total - HISPANIC,Arrest - % Total - OTHER,Arrest - % Total - WHITE,Citation - % Total - ASIAN,Citation - % Total - BLACK,Citation - % Total - HISPANIC,Citation - % Total - OTHER,Citation - % Total - WHITE,Search Conducted - % Total - ASIAN,Search Conducted - % Total - BLACK,Search Conducted - % Total - HISPANIC,Search Conducted - % Total - OTHER,Search Conducted - % Total - WHITE,Citation per Fatal,Citation per Alcohol,Citation per Accident,Citation per Personal Injury,Citation per Property Damage,Arrest per Fatal,Arrest per Alcohol,Arrest per Accident,Arrest per Personal Injury,Arrest per Property Damage,Search Conducted per Fatal,Search Conducted per Alcohol,Search Conducted per Accident,Search Conducted per Personal Injury,Search Conducted per Property Damage,Stops per Fatal,Stops per Alcohol,Stops per Accident,Stops per Personal Injury,Stops per Property Damage,BLACK + HISPANIC Stops - % Total,BLACK + HISPANIC Arrest - % Total,BLACK + HISPANIC Citation - % Total,BLACK + HISPANIC Search Conducted - % Total
89f0462d04fffff,1051.0,17.0,39.0,0.0,0.0,48.0,18.0,19.0,169,821,464,170,871,0,17,9,5,8,69,324,188,80,385,0,5,6,2,4,2500,-77.21375801398176,39.145187650323805,"((39.15351515795567, -77.2137493500661), (39.149049534334644, -77.21212093991815), (39.140723026899664, -77.21212945007755), (39.136859991719085, -77.2137664168129), (39.14132473077678, -77.21539505854436), (39.14965338994276, -77.21538650195075), (39.15351515795567, -77.2137493500661))",0.0676,0.3284,0.1856,0.068,0.3484,0.0,0.29411764705882354,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.06565176022835395,0.3082778306374881,0.17887725975261656,0.07611798287345385,0.36631779257849667,0.0,0.4358974358974359,0.23076923076923078,0.1282051282051282,0.20512820512820512,,,21.895833333333332,58.388888888888886,55.31578947368421,,,0.3541666666666667,0.9444444444444444,0.8947368421052632,,,0.8125,2.1666666666666665,2.0526315789473686,,,52.083333333333336,138.88888888888889,131.57894736842104,0.514,0.6470588235294118,0.48715509039010463,0.6666666666666667
89f0462d053ffff,816.0,35.0,65.0,0.0,2.0,65.0,21.0,33.0,134,709,450,129,820,2,24,15,6,17,44,260,165,48,298,2,11,9,4,9,2246,-77.22028928489715,39.14639383471965,"((39.154725647931095, -77.2202805280184), (39.15025755851831, -77.21865211417932), (39.14192674651064, -77.21866071721851), (39.13806187032806, -77.22029778054738), (39.142529074343685, -77.22192642607877), (39.15086204030433, -77.2219177765827), (39.154725647931095, -77.2202805280184))",0.05966162065894924,0.3156723063223508,0.20035618878005343,0.057435440783615316,0.365093499554764,0.05714285714285714,0.3142857142857143,0.2571428571428571,0.11428571428571428,0.2571428571428571,0.05392156862745098,0.31862745098039214,0.20220588235294118,0.058823529411764705,0.36519607843137253,0.03076923076923077,0.36923076923076925,0.23076923076923078,0.09230769230769231,0.26153846153846155,,408.0,12.553846153846154,38.857142857142854,24.727272727272727,,17.5,0.5384615384615384,1.6666666666666667,1.0606060606060606,,32.5,1.0,3.0952380952380953,1.9696969696969697,,1123.0,34.55384615384615,106.95238095238095,68.06060606060606,0.5160284951024042,0.5714285714285714,0.5208333333333333,0.6000000000000001
89f0462d057ffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,8,-77.21866905905831,39.133595783549055,"((39.14192674651064, -77.21866071721851), (39.13746077531243, -77.21703207357895), (39.129130813641545, -77.21704026164379), (39.12526466998125, -77.21867713968507), (39.1297297551048, -77.2203060149554), (39.13806187032806, -77.22029778054738), (39.14192674651064, -77.21866071721851))",0.125,0.25,0.125,0.0,0.5,,,,,,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,0.3333333333333333,
89f0462d05bffff,484.0,9.0,36.0,0.0,0.0,22.0,7.0,17.0,153,654,446,145,616,2,15,9,3,7,30,165,97,35,155,1,3,2,0,3,2016,-77.21864324995457,39.1585882192237,"((39.166918728278425, -77.21863412455787), (39.16244975456322, -77.21700594241823), (39.1541202461213, -77.21701491395247), (39.15025755851831, -77.21865211417932), (39.154725647931095, -77.2202805280184), (39.163057309614366, -77.22027150992487), (39.166918728278425, -77.21863412455787))",0.07589285714285714,0.3244047619047619,0.22123015873015872,0.07192460317460317,0.3055555555555556,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,0.06198347107438017,0.3409090909090909,0.20041322314049587,0.07231404958677685,0.3202479338842975,0.05555555555555555,0.4166666666666667,0.25,0.08333333333333333,0.19444444444444445,,,22.0,69.14285714285714,28.470588235294116,,,0.4090909090909091,1.2857142857142858,0.5294117647058824,,,1.6363636363636365,5.142857142857143,2.1176470588235294,,,91.63636363636364,288.0,118.58823529411765,0.5456349206349207,0.5555555555555556,0.5413223140495868,0.6666666666666667
89f0462d063ffff,215.0,4.0,10.0,0.0,0.0,15.0,6.0,8.0,86,151,123,56,308,0,0,4,0,6,34,44,36,17,83,0,0,2,0,2,726,-77.21051674005545,39.11960805333515,"((39.12793386140797, -77.2105089056829), (39.123472469425934, -77.20888003634866), (39.115147661723064, -77.20888771709413), (39.11128209543583, -77.21052431337448), (39.11574260150229, -77.21215341416911), (39.12406956013597, -77.21214568721679), (39.12793386140797, -77.2105089056829))",0.1184573002754821,0.20798898071625344,0.16942148760330578,0.07713498622589532,0.42424242424242425,0.0,0.0,0.5,0.0,0.5,0.15813953488372093,0.20465116279069767,0.16744186046511628,0.07906976744186046,0.386046511627907,0.0,0.0,0.4,0.0,0.6,,,14.333333333333334,35.833333333333336,26.875,,,0.26666666666666666,0.6666666666666666,0.5,,,0.6666666666666666,1.6666666666666667,1.25,,,48.4,121.0,90.75,0.3774104683195592,0.5,0.37209302325581395,0.4
89f0462d067ffff,212.0,3.0,8.0,0.0,0.0,9.0,1.0,9.0,105,131,71,80,405,0,1,1,2,4,33,39,21,23,94,0,0,1,0,2,797,-77.20889513681519,39.106822704418676,"((39.115147661723064, -77.20888771709413), (39.11068838493568, -77.20725861836489), (39.10236442808678, -77.20726588452334), (39.098497597860025, -77.20890229549818), (39.102955988057374, -77.21053162562629), (39.11128209543583, -77.21052431337448), (39.115147661723064, -77.20888771709413))",0.13174404015056462,0.164366373902133,0.0890840652446675,0.10037641154328733,0.5081555834378921,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.15566037735849056,0.18396226415094338,0.09905660377358491,0.10849056603773585,0.44339622641509435,0.0,0.125,0.125,0.25,0.5,,,23.555555555555557,212.0,23.555555555555557,,,0.3333333333333333,3.0,0.3333333333333333,,,0.8888888888888888,8.0,0.8888888888888888,,,88.55555555555556,797.0,88.55555555555556,0.2534504391468005,0.3333333333333333,0.2830188679245283,0.25
89f0462d06bffff,400.0,4.0,14.0,0.0,1.0,22.0,7.0,6.0,55,234,178,58,313,1,9,2,0,2,25,106,73,33,161,0,3,1,0,0,840,-77.20887209459245,39.13179712717978,"((39.14012163463722, -77.20886389183921), (39.135659357832665, -77.20723525397264), (39.12733585015585, -77.20724330307587), (39.123472469425934, -77.20888003634866), (39.12793386140797, -77.2105089056829), (39.13625951930633, -77.2105008102704), (39.14012163463722, -77.20886389183921))",0.06547619047619048,0.2785714285714286,0.2119047619047619,0.06904761904761905,0.3726190476190476,0.0,0.75,0.25,0.0,0.0,0.0625,0.265,0.1825,0.0825,0.4025,0.07142857142857142,0.6428571428571429,0.14285714285714285,0.0,0.14285714285714285,,400.0,18.181818181818183,57.142857142857146,66.66666666666667,,4.0,0.18181818181818182,0.5714285714285714,0.6666666666666666,,14.0,0.6363636363636364,2.0,2.3333333333333335,,840.0,38.18181818181818,120.0,140.0,0.4904761904761905,1.0,0.4475,0.7857142857142858
89f0462d06fffff,542.0,12.0,21.0,1.0,0.0,11.0,4.0,11.0,144,339,177,116,652,0,7,4,0,10,45,124,76,40,257,0,4,2,0,6,1428,-77.2072510912112,39.119012192407794,"((39.12733585015585, -77.20724330307587), (39.1228756878709, -77.20561443575282), (39.11455302998948, -77.20562207030255), (39.11068838493568, -77.20725861836489), (39.115147661723064, -77.20888771709413), (39.123472469425934, -77.20888003634866), (39.12733585015585, -77.20724330307587))",0.10084033613445378,0.23739495798319327,0.12394957983193278,0.08123249299719888,0.4565826330532213,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.08302583025830258,0.22878228782287824,0.14022140221402213,0.07380073800738007,0.474169741697417,0.0,0.3333333333333333,0.19047619047619047,0.0,0.47619047619047616,542.0,,49.27272727272727,135.5,49.27272727272727,12.0,,1.0909090909090908,3.0,1.0909090909090908,21.0,,1.9090909090909092,5.25,1.9090909090909092,1428.0,,129.8181818181818,357.0,129.8181818181818,0.36134453781512604,0.5,0.36900369003690037,0.5238095238095237
89f0462d073ffff,75.0,2.0,5.0,0.0,0.0,9.0,0.0,5.0,35,68,89,25,80,0,1,3,0,1,10,16,29,6,14,0,0,2,0,0,297,-77.21378243916699,39.120204222982665,"((39.12853218248945, -77.21377455854591), (39.12406956013597, -77.21214568721679), (39.11574260150229, -77.21215341416911), (39.11187611354652, -77.21379005866257), (39.116337849566875, -77.21541916150649), (39.12466696024094, -77.21541138833594), (39.12853218248945, -77.21377455854591))",0.11784511784511785,0.22895622895622897,0.2996632996632997,0.08417508417508418,0.26936026936026936,0.0,0.0,1.0,0.0,0.0,0.13333333333333333,0.21333333333333335,0.38666666666666666,0.08,0.18666666666666668,0.0,0.2,0.6,0.0,0.2,,,8.333333333333334,,15.0,,,0.2222222222222222,,0.4,,,0.5555555555555556,,1.0,,,33.0,,59.4,0.5286195286195287,1.0,0.6,0.8
89f0462d077ffff,202.0,4.0,6.0,0.0,0.0,19.0,9.0,14.0,128,166,88,63,377,0,1,1,0,4,28,36,35,15,87,0,1,0,0,3,824,-77.21216088002511,39.107415493164744,"((39.11574260150229, -77.21215341416911), (39.11128209543583, -77.21052431337448), (39.102955988057374, -77.21053162562629), (39.099088235470774, -77.2121680847711), (39.103547854528856, -77.21379741701894), (39.11187611354652, -77.21379005866257), (39.11574260150229, -77.21215341416911))",0.1553398058252427,0.20145631067961164,0.10679611650485436,0.07645631067961164,0.4575242718446602,0.0,0.25,0.0,0.0,0.75,0.13861386138613863,0.1782178217821782,0.17326732673267325,0.07425742574257425,0.4306930693069307,0.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,,,10.631578947368421,22.444444444444443,14.428571428571429,,,0.21052631578947367,0.4444444444444444,0.2857142857142857,,,0.3157894736842105,0.6666666666666666,0.42857142857142855,,,43.36842105263158,91.55555555555556,58.857142857142854,0.308252427184466,0.25,0.35148514851485146,0.3333333333333333
89f0462d07bffff,234.0,6.0,8.0,0.0,0.0,14.0,2.0,1.0,36,144,77,30,215,1,4,2,0,1,16,72,34,15,97,1,2,2,0,1,503,-77.2121376991817,39.13239636871768,"((39.140723026899664, -77.21212945007755), (39.13625951930633, -77.2105008102704), (39.12793386140797, -77.2105089056829), (39.12406956013597, -77.21214568721679), (39.12853218248945, -77.21377455854591), (39.136859991719085, -77.2137664168129), (39.140723026899664, -77.21212945007755))",0.07157057654075547,0.28628230616302186,0.15308151093439365,0.05964214711729622,0.4274353876739563,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.06837606837606838,0.3076923076923077,0.1452991452991453,0.0641025641025641,0.41452991452991456,0.125,0.5,0.25,0.0,0.125,,,16.714285714285715,117.0,234.0,,,0.42857142857142855,3.0,6.0,,,0.5714285714285714,4.0,8.0,,,35.92857142857143,251.5,503.0,0.4393638170974155,0.6666666666666666,0.45299145299145305,0.75
89f0462d083ffff,107.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,38,43,29,29,181,0,0,0,0,0,14,12,8,11,60,0,0,0,0,0,320,-77.2268683665103,39.09758136385691,"((39.10591839018931, -77.22686108506471), (39.10145384894115, -77.22523174449935), (39.09311782617745, -77.22523887219724), (39.089244188230246, -77.22687538650106), (39.093707839695476, -77.22850495872979), (39.10204601925665, -77.2284977849851), (39.10591839018931, -77.22686108506471))",0.11875,0.134375,0.090625,0.090625,0.565625,,,,,,0.1308411214953271,0.11214953271028037,0.07476635514018691,0.102803738317757,0.5607476635514018,,,,,,,,,107.0,35.666666666666664,,,,0.0,0.0,,,,0.0,0.0,,,,320.0,106.66666666666667,0.22499999999999998,,0.18691588785046728,
89f0462d087ffff,133.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,62,10,16,7,134,0,0,0,0,1,35,6,14,6,72,0,0,0,0,0,229,-77.22524573846951,39.084781654344944,"((39.09311782617745, -77.22523887219724), (39.08865540585241, -77.22360930207809), (39.08032023767419, -77.22361601466743), (39.07644533379273, -77.22525234330261), (39.08090686365835, -77.22688214502335), (39.089244188230246, -77.22687538650106), (39.09311782617745, -77.22523887219724))",0.27074235807860264,0.043668122270742356,0.06986899563318777,0.03056768558951965,0.5851528384279476,,,,,,0.2631578947368421,0.045112781954887216,0.10526315789473684,0.045112781954887216,0.5413533834586466,0.0,0.0,0.0,0.0,1.0,,,44.333333333333336,133.0,,,,0.0,0.0,,,,0.3333333333333333,1.0,,,,76.33333333333333,229.0,,0.11353711790393012,,0.15037593984962405,0.0
89f0462d08bffff,118.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,54,63,36,17,256,1,0,0,0,1,15,22,14,9,57,1,0,0,0,0,426,-77.22522435538956,39.10978972228718,"((39.11812544586683, -77.22521670488145), (39.11366001593302, -77.22358759598687), (39.105325295330765, -77.22359509272424), (39.10145384894115, -77.22523174449935), (39.10591839018931, -77.22686108506471), (39.11425526687825, -77.22685354217788), (39.11812544586683, -77.22521670488145))",0.1267605633802817,0.14788732394366197,0.08450704225352113,0.03990610328638498,0.6009389671361502,1.0,0.0,0.0,0.0,0.0,0.1271186440677966,0.1864406779661017,0.11864406779661017,0.07627118644067797,0.4830508474576271,0.5,0.0,0.0,0.0,0.5,,,,,118.0,,,,,1.0,,,,,2.0,,,,,426.0,0.2323943661971831,0.0,0.3050847457627119,0.0
89f0462d08fffff,183.0,4.0,8.0,0.0,0.0,7.0,5.0,2.0,105,72,56,39,389,0,4,2,1,1,26,29,17,8,102,0,1,2,0,1,661,-77.22360232809251,39.096990425187656,"((39.105325295330765, -77.22359509272424), (39.10086198564335, -77.22196575421403), (39.09252811856326, -77.22197283587627), (39.08865540585241, -77.22360930207809), (39.09311782617745, -77.22523887219724), (39.10145384894115, -77.22523174449935), (39.105325295330765, -77.22359509272424))",0.1588502269288956,0.10892586989409984,0.08472012102874432,0.059001512859304085,0.5885022692889561,0.0,0.25,0.5,0.0,0.25,0.14207650273224043,0.15846994535519127,0.09289617486338798,0.04371584699453552,0.5573770491803278,0.0,0.5,0.25,0.125,0.125,,,26.142857142857142,36.6,91.5,,,0.5714285714285714,0.8,2.0,,,1.1428571428571428,1.6,4.0,,,94.42857142857143,132.2,330.5,0.19364599092284418,0.75,0.25136612021857924,0.75
89f0462d093ffff,111.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,52,50,29,18,241,0,0,1,0,0,17,11,10,2,71,0,0,1,0,0,390,-77.23013445512346,39.09817260910627,"((39.10651179274208, -77.23012712758937), (39.10204601925665, -77.2284977849851), (39.093707839695476, -77.22850495872979), (39.08983327607388, -77.23014152113055), (39.09429815935543, -77.23177109545269), (39.10263849682847, -77.23176387564993), (39.10651179274208, -77.23012712758937))",0.13333333333333333,0.1282051282051282,0.07435897435897436,0.046153846153846156,0.617948717948718,0.0,0.0,1.0,0.0,0.0,0.15315315315315314,0.0990990990990991,0.09009009009009009,0.018018018018018018,0.6396396396396397,0.0,0.0,1.0,0.0,0.0,,,37.0,111.0,111.0,,,0.3333333333333333,1.0,1.0,,,0.3333333333333333,1.0,1.0,,,130.0,390.0,390.0,0.20256410256410257,1.0,0.1891891891891892,1.0
89f0462d097ffff,79.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,23,5,8,1,92,1,0,0,0,0,11,2,4,0,62,1,0,0,0,0,129,-77.22851187097673,39.08536951096347,"((39.093707839695476, -77.22850495872979), (39.089244188230246, -77.22687538650106), (39.08090686365835, -77.22688214502335), (39.07703103340969, -77.22851852171229), (39.081493793994085, -77.23014832559699), (39.08983327607388, -77.23014152113055), (39.093707839695476, -77.22850495872979))",0.17829457364341086,0.03875968992248062,0.06201550387596899,0.007751937984496124,0.7131782945736435,1.0,0.0,0.0,0.0,0.0,0.13924050632911392,0.02531645569620253,0.05063291139240506,0.0,0.7848101265822784,1.0,0.0,0.0,0.0,0.0,,,,,79.0,,,,,1.0,,,,,1.0,,,,,129.0,0.10077519379844961,0.0,0.0759493670886076,0.0
